Error type,Score,Message (shortened)
Legitimate held back,0.748,I (Career Tel) have added u as a contact on INDYAROCKS.COM to send FREE SMS. To remove fro
Legitimate held back,0.647,Are you free now?can i call now?
Legitimate held back,0.532,"Sir, i am waiting for your call, once free please call me."
Legitimate held back,0.497,Glad to see your reply.
Legitimate held back,0.381,Plz note: if anyone calling from a mobile Co. & asks u to type # or # . Do not do so. Disc
Spam displayed,0.092,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEG
Spam displayed,0.116,Sorry I missed your call let's talk when you have the time. I'm on 07090201529
Spam displayed,0.145,"LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35"
Spam displayed,0.151,(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *****
Spam displayed,0.161,dating:i have had two of these. Only started after i sent a text to talk sport radio last 
